"","Customer.Subtype","Avg.size.household","Avg.age","Customer.main.type","Married","Living.together","Other.relation","Singles","Household.without.children","Household.with.children","High.status","Entrepreneur","Farmer","Middle.management","Skilled.labourers","Unskilled.labourers","Rented.house","Home.owners","1.car","2.cars","No.car","National.Health.Service","Private.health.insurance","Income.less.then.30K","Income.in.30.45K","Income.in.45.75K","Income.in.75.122K","Income.more.then.123K","Purchasing.power.class","Cont.private.third.party.insr","Cont.car.pol","Cont.boat.pol","Num.of.private.third.party.insur","Number.of.boat.pol","Num.of.mobile.home.policies","Other.contribution","Number.of.other.policies"
"37",7,3,2,2,7,2,0,0,6,3,2,0,0,7,0,0,0,9,7,2,0,7,2,0,6,3,0,0,6,2,6,0,1,0,"0",0,0
"38",41,3,3,10,8,1,1,1,5,3,2,0,2,3,2,3,3,6,6,2,2,6,3,2,7,1,1,0,4,0,0,0,0,0,"0",0,0
"39",39,3,2,9,6,0,3,0,0,9,2,0,0,2,5,2,7,2,3,6,0,6,3,7,0,2,0,0,5,0,0,0,0,0,"0",3,1
"40",33,3,3,8,6,3,0,0,3,6,0,0,0,1,6,3,3,6,6,3,0,9,0,3,5,2,1,0,3,2,5,0,1,0,"0",2,1
"41",24,3,3,5,6,1,2,0,0,9,2,1,1,2,3,2,9,0,6,1,3,7,2,4,5,0,0,0,2,2,0,0,1,0,"0",0,0
"42",11,3,3,3,9,0,0,2,3,4,5,0,0,4,0,1,1,8,7,2,0,7,2,2,4,3,0,1,6,2,6,0,1,0,"1",1,1
"43",8,3,3,2,6,1,2,2,3,5,3,1,1,3,2,2,4,5,6,2,1,4,5,2,2,4,1,1,7,0,0,0,0,0,"0",0,0
"44",33,2,4,8,8,0,1,1,7,2,2,0,3,2,2,2,6,3,6,0,3,7,2,4,2,3,1,0,3,0,6,0,0,0,"0",0,0
"45",3,3,3,1,7,1,2,1,3,5,2,1,0,3,2,3,0,9,6,2,2,5,4,0,5,3,1,0,6,2,0,0,1,0,"0",0,0
"46",38,3,3,9,7,1,2,3,2,5,2,1,1,2,3,3,5,4,5,2,2,7,2,4,4,1,1,1,4,2,6,0,1,0,"1",5,1
"47",36,2,4,8,6,0,3,4,3,3,2,1,0,3,3,2,5,4,6,0,3,6,3,3,3,2,1,0,3,1,0,0,1,0,"0",0,0
"48",38,4,2,9,8,0,1,1,1,8,1,0,0,2,0,7,8,1,5,4,1,8,1,5,4,0,0,0,4,2,5,0,1,0,"0",0,0
"49",39,3,3,9,8,0,1,1,5,4,1,0,0,6,1,3,5,4,5,2,3,6,3,2,4,3,1,0,5,0,5,0,0,0,"0",0,0
"50",33,3,3,8,7,0,2,2,1,6,0,0,0,3,6,0,4,5,5,2,3,8,1,3,4,2,0,0,3,1,0,0,1,0,"0",0,0
"51",33,2,4,8,7,0,2,0,6,3,0,0,0,3,4,3,9,0,7,2,0,9,0,6,3,0,0,0,3,0,6,0,0,0,"0",0,0
"52",25,2,3,6,3,2,5,5,3,3,1,1,0,4,2,3,7,2,6,1,3,8,1,5,3,2,0,0,1,2,0,0,1,0,"0",0,0
"53",20,2,3,5,6,2,2,2,4,3,1,0,0,3,2,4,9,0,7,2,2,8,1,3,3,3,1,0,2,0,0,0,0,0,"0",0,0
"54",11,2,4,3,6,0,3,4,2,4,4,0,2,0,4,1,1,8,3,0,6,7,2,4,3,2,2,0,6,1,0,0,1,0,"0",0,0
"55",33,3,3,8,7,0,2,1,3,6,1,0,1,3,3,4,1,8,8,0,1,8,1,0,2,7,0,0,3,2,6,0,1,0,"0",4,2
"56",39,5,2,9,7,1,2,0,0,9,0,0,0,6,3,0,2,7,6,2,2,6,3,0,4,5,0,0,5,2,6,0,1,0,"0",0,0
"57",11,1,2,3,4,3,2,6,3,1,2,0,0,4,3,2,8,1,8,0,1,9,0,3,5,2,0,0,6,0,5,0,0,0,"0",0,0
"58",12,3,2,3,7,2,0,1,2,6,1,0,0,5,2,1,0,9,9,0,0,5,4,2,4,4,0,0,7,2,0,0,1,0,"1",6,1
"59",35,2,3,8,7,2,1,1,7,2,1,0,2,4,1,4,7,2,8,1,1,7,2,5,3,2,0,0,5,0,0,0,0,0,"0",0,0
"60",30,3,3,7,6,1,3,1,4,5,3,0,1,4,1,2,2,7,4,0,5,7,2,2,2,2,4,1,2,2,0,0,1,0,"0",0,0
"61",30,2,4,7,4,1,4,5,4,1,1,1,0,5,2,1,9,0,5,0,4,5,4,5,3,2,0,0,2,0,6,0,0,0,"0",0,0
"62",36,3,3,8,6,1,3,2,4,4,1,1,1,2,4,2,4,5,5,2,3,7,2,3,4,2,1,1,3,0,6,0,0,0,"0",0,0
"63",34,3,3,8,9,0,0,0,5,4,2,0,0,5,2,1,2,7,5,4,0,5,4,0,2,3,2,3,6,0,0,0,0,0,"0",0,0
"64",23,1,1,5,2,2,5,5,4,0,0,0,0,7,0,2,9,0,7,0,2,9,0,4,4,2,0,0,3,0,0,0,0,0,"0",0,0
"65",11,1,3,3,0,2,7,7,2,1,0,0,0,3,0,6,8,1,2,0,7,7,2,6,3,0,2,0,6,2,6,0,1,0,"0",0,0
"66",33,4,2,8,9,0,0,0,2,7,3,1,0,4,1,1,0,9,7,2,0,6,3,0,6,3,0,0,3,2,6,0,1,0,"0",0,0
"67",36,3,3,8,7,1,2,1,4,4,1,0,1,3,2,4,5,4,5,2,3,6,3,2,5,2,1,0,3,0,0,0,0,0,"0",0,0
"68",13,3,3,3,6,0,3,2,4,4,7,0,0,0,2,0,0,9,9,0,0,4,5,0,5,4,0,0,6,2,6,0,1,0,"0",0,0
"69",36,3,4,8,6,0,3,3,4,3,2,0,2,4,0,2,2,7,6,3,0,3,6,0,7,2,0,0,3,0,0,0,0,0,"0",3,1
"70",29,2,5,7,6,0,3,3,4,2,1,0,0,1,4,5,9,0,4,3,3,9,0,1,8,0,0,0,3,0,0,0,0,0,"0",0,0
"71",9,3,2,3,9,0,0,0,4,5,2,2,0,4,0,2,7,2,7,2,0,6,3,4,5,0,0,0,4,0,0,0,0,0,"0",1,1
"72",25,2,5,6,5,1,3,4,5,1,3,1,0,4,1,2,6,3,7,1,1,5,4,4,4,2,1,0,1,0,0,0,0,0,"0",0,0
"73",32,3,4,7,8,1,1,2,5,3,1,1,1,5,3,1,4,5,7,0,2,5,4,2,3,4,1,0,1,0,0,0,0,0,"0",0,0
"74",8,3,3,2,7,1,2,2,3,5,4,0,0,4,1,0,1,8,8,0,1,6,3,0,5,4,0,0,7,2,6,0,1,0,"0",4,2
"75",11,3,2,3,6,2,1,2,3,5,2,0,0,5,1,1,2,7,7,2,0,5,4,1,0,5,3,0,6,2,6,0,1,0,"0",3,1
"76",3,3,4,1,7,0,2,2,4,4,1,0,0,3,2,5,2,7,6,0,3,8,1,2,4,4,0,0,6,0,6,0,0,0,"0",0,0
"77",38,2,3,9,5,1,3,2,4,3,1,0,1,2,2,5,8,1,6,1,3,6,3,4,4,1,0,0,4,0,0,0,0,0,"0",3,1
"78",11,2,3,3,7,1,1,1,8,1,4,0,0,1,4,0,9,0,8,1,1,4,5,0,5,4,0,0,6,2,0,0,1,0,"0",0,0
"79",3,2,3,1,8,1,0,0,7,2,6,0,0,1,1,3,0,9,9,0,0,4,5,3,3,4,0,0,6,0,0,0,0,0,"0",0,0
"80",13,3,3,3,6,2,1,1,4,5,1,0,0,6,1,2,1,8,7,2,0,8,1,1,3,6,1,0,6,0,6,0,0,0,"0",0,0
"81",3,2,3,1,5,0,4,3,3,4,1,0,1,6,1,3,2,7,7,0,2,7,2,0,5,4,0,0,6,2,0,0,1,0,"0",0,0
"82",3,2,4,1,7,1,2,0,9,0,4,0,0,2,2,1,5,5,6,2,1,5,4,5,5,0,0,0,6,0,6,0,0,0,"0",0,0
"83",1,3,3,1,8,0,1,1,4,5,6,1,0,3,1,0,0,9,7,2,1,1,8,1,0,3,5,0,8,2,6,0,1,0,"0",0,0
"84",41,3,3,10,6,0,3,2,3,5,1,0,1,4,2,4,2,7,7,0,2,7,2,0,4,5,0,0,4,0,0,0,0,0,"0",0,0
"85",23,2,1,5,4,2,4,2,5,3,0,0,0,4,3,3,9,0,4,0,5,8,1,4,2,4,0,0,3,0,6,0,0,0,"0",0,0
"86",38,3,3,9,5,1,3,3,2,4,2,1,0,3,2,3,5,4,4,2,4,7,2,3,5,1,1,0,4,2,6,0,1,0,"0",0,0
"87",1,3,3,1,8,1,0,0,5,4,4,0,2,2,2,0,0,9,6,3,0,3,6,3,3,3,2,0,8,2,0,0,1,0,"0",0,0
"88",39,4,2,9,9,0,0,0,3,6,2,0,0,3,5,0,0,9,9,0,0,7,2,0,5,4,0,0,5,2,6,0,1,0,"0",1,1
"89",36,1,2,8,1,2,6,5,3,2,2,0,0,4,1,3,9,0,5,1,3,5,4,4,3,3,0,0,3,0,0,0,0,0,"0",0,0
"90",38,2,2,9,7,1,2,3,4,3,1,0,0,3,6,0,3,6,7,1,1,8,1,0,7,2,0,0,4,2,0,0,1,0,"0",0,0
"91",9,3,3,3,7,1,1,0,4,5,1,1,0,4,2,3,0,9,6,2,2,8,1,0,6,0,3,0,4,0,0,0,0,0,"0",1,1
"92",8,5,3,2,9,0,0,0,0,8,7,0,0,2,0,0,0,9,9,0,0,4,5,0,0,9,0,0,7,2,6,0,1,0,"0",0,0
"93",3,3,3,1,6,0,3,1,4,4,1,0,1,4,2,4,3,6,7,0,2,7,2,0,4,5,0,0,6,2,0,0,1,0,"0",0,0
"94",26,1,5,6,3,0,6,6,2,1,0,0,2,2,4,2,8,1,3,0,6,9,0,2,5,2,1,0,1,2,5,0,1,0,"0",0,0
"95",39,2,3,9,9,0,0,2,5,2,1,0,0,3,3,3,6,3,7,0,2,7,2,1,3,3,2,0,5,1,6,0,1,0,"0",0,0
"96",11,3,3,3,9,0,0,0,4,5,3,1,2,2,2,1,3,6,6,2,1,5,4,0,0,7,2,0,6,0,0,0,0,0,"0",3,1
"97",39,2,3,9,9,0,0,2,4,3,0,0,0,4,5,0,6,3,9,0,0,9,0,3,4,3,1,0,5,0,6,0,0,0,"0",5,3
"98",9,2,3,3,7,1,1,5,1,4,4,0,0,5,1,0,9,0,8,1,1,4,5,0,5,4,0,0,4,0,0,0,0,0,"1",0,0
"99",36,2,4,8,7,0,2,2,4,3,1,0,0,3,1,4,2,7,5,3,2,5,4,2,5,3,0,0,3,0,0,0,0,0,"1",0,0
"100",24,2,2,5,1,3,5,4,3,2,1,0,0,3,1,5,8,1,7,0,2,6,3,5,3,1,1,0,2,2,0,0,1,0,"0",0,0
"101",33,3,2,8,9,0,0,0,2,7,1,0,0,2,6,2,3,6,6,1,2,7,2,3,5,2,1,0,3,0,5,0,0,0,"0",0,0
"102",1,3,4,1,9,0,0,0,4,5,4,0,0,4,2,0,0,9,6,3,0,3,6,0,6,3,0,0,8,0,0,0,0,0,"0",0,0
"103",33,4,2,8,9,0,0,0,2,7,3,1,0,4,1,1,0,9,7,2,0,6,3,0,6,3,0,0,3,2,0,0,1,0,"0",0,0
"104",11,2,5,3,5,0,4,4,2,3,4,0,0,2,0,4,0,9,4,2,4,5,4,3,5,1,1,0,6,2,5,0,1,0,"0",0,0
"105",37,3,3,8,7,1,2,0,3,6,4,0,1,0,2,3,2,7,7,2,0,5,4,2,2,3,3,0,4,0,6,0,0,0,"0",0,0
"106",24,2,2,5,4,1,5,3,0,6,0,0,0,0,4,5,9,0,5,1,3,8,1,5,4,0,0,0,2,2,6,0,1,0,"0",0,0
"107",2,4,2,1,7,1,2,2,4,4,0,5,4,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,0,5,0,0,0,"0",0,0
"108",23,2,2,5,6,0,3,4,2,4,3,1,0,2,2,2,6,3,7,1,1,2,7,2,3,3,3,0,4,2,0,0,1,0,"0",0,0
"109",37,2,2,8,3,2,4,4,4,2,0,0,0,7,0,2,7,2,7,0,2,9,0,4,5,0,0,0,4,0,6,0,0,0,"0",3,1
"110",36,4,3,8,7,1,2,0,0,9,0,0,0,0,5,4,9,0,6,2,2,7,2,0,4,5,0,0,3,2,6,0,1,0,"0",6,1
"111",8,4,3,2,6,1,3,0,2,7,3,1,0,5,2,1,1,8,8,0,1,6,3,1,3,4,3,1,7,2,0,0,1,0,"0",0,0
"112",23,2,1,5,0,6,3,3,5,2,2,0,0,4,2,2,9,0,5,3,3,9,0,5,2,3,0,0,3,2,0,0,1,0,"0",2,1
"113",33,2,3,8,7,2,0,0,5,4,2,0,0,2,5,2,0,9,4,4,2,6,3,2,5,3,0,0,3,0,6,0,0,0,"0",0,0
"114",34,4,3,8,7,0,2,1,3,5,4,1,0,3,0,3,8,1,6,3,0,0,9,0,4,4,1,1,6,0,6,0,0,0,"0",0,0
"115",33,3,3,8,8,0,1,1,4,4,1,0,0,4,2,2,0,9,7,1,2,6,3,0,5,4,0,0,3,0,0,0,0,0,"0",0,0
"116",22,2,4,5,4,2,4,5,4,2,5,0,0,4,1,0,8,1,1,2,6,8,1,7,2,1,0,0,3,0,6,0,0,0,"0",0,0
"117",34,2,3,8,6,1,2,2,3,4,2,0,0,3,3,2,2,7,7,0,2,8,1,2,5,2,0,0,6,2,6,0,1,0,"0",0,0
"118",33,3,3,8,6,0,3,3,3,4,1,0,0,3,5,2,8,1,5,0,4,9,0,0,0,9,0,0,3,0,0,0,0,0,"0",0,0
"119",8,2,4,2,5,2,3,0,6,3,0,0,0,6,3,0,0,9,6,1,2,7,2,0,0,9,0,0,7,2,0,0,1,0,"0",3,3
"120",33,3,3,8,5,0,4,2,3,4,0,0,2,0,3,5,4,5,3,2,4,7,2,6,2,2,0,0,3,0,6,0,0,0,"0",0,0
"121",37,3,3,8,7,2,1,1,6,3,1,0,0,2,3,4,6,3,7,1,2,7,2,5,3,1,1,0,5,0,0,0,0,0,"0",0,0
"122",35,4,3,8,7,1,2,0,0,9,0,0,0,0,5,4,9,0,6,2,2,7,2,0,4,5,0,0,5,0,6,0,0,0,"0",0,0
"123",34,3,2,8,7,2,0,0,4,5,0,2,0,2,4,2,2,7,5,4,0,9,0,0,5,4,0,0,6,0,0,0,0,0,"0",1,1
"124",9,3,3,3,7,1,2,1,3,5,1,0,0,3,4,2,8,1,6,1,2,9,0,1,5,3,0,0,4,0,6,0,0,0,"0",0,0
"125",10,3,3,3,9,0,0,0,3,6,2,0,0,5,0,2,0,9,6,0,3,9,0,0,4,5,0,0,8,2,6,0,1,0,"0",0,0
"126",30,2,4,7,3,0,6,6,2,2,0,0,0,0,5,4,9,0,5,0,4,9,0,6,3,0,0,0,2,0,6,0,0,0,"0",0,0
"127",36,2,5,8,5,1,3,3,5,1,3,1,0,4,1,2,5,4,7,1,1,5,4,3,3,3,1,0,3,2,6,0,1,0,"0",0,0
"128",3,2,4,1,6,0,3,3,4,3,7,0,0,2,0,1,0,9,5,4,0,3,6,0,3,6,0,0,6,2,6,0,1,0,"1",0,0
"129",25,2,3,6,3,2,5,5,3,3,1,1,0,4,2,3,7,2,6,1,3,8,1,5,3,2,0,0,1,2,6,0,1,0,"0",0,0
"130",23,2,2,5,3,2,5,5,3,2,1,0,0,3,2,4,8,1,5,0,4,8,1,6,2,1,0,1,3,0,6,0,0,0,"0",0,0
"131",8,3,3,2,7,2,0,0,2,7,3,0,0,5,2,1,0,9,9,0,0,4,5,1,2,7,0,0,7,0,0,4,0,2,"0",0,0
"132",37,2,3,8,5,2,3,2,6,1,2,1,0,3,1,4,4,5,7,1,2,6,3,3,4,3,1,0,4,0,6,0,0,0,"0",3,1
"133",38,3,3,9,5,1,4,3,2,4,0,0,0,2,4,4,8,1,4,1,5,8,1,5,4,1,1,0,4,0,5,0,0,0,"0",0,0
"134",8,3,3,2,9,0,0,0,4,5,5,0,0,4,0,0,2,7,7,2,0,6,3,5,2,0,2,0,7,0,0,0,0,0,"0",0,0
"135",7,3,2,2,5,4,0,0,4,5,3,0,0,6,0,0,0,9,6,3,0,6,3,0,3,6,0,0,6,0,0,0,0,0,"0",0,0
"136",29,2,3,7,3,2,5,4,2,3,3,0,0,4,2,2,3,6,5,1,3,7,2,3,2,3,2,1,3,2,0,0,1,0,"0",0,0
"137",33,3,3,8,7,1,1,1,4,4,2,1,1,1,4,2,2,7,4,4,2,7,2,3,3,3,0,1,3,2,6,0,1,0,"0",0,0
"138",33,3,3,8,4,0,5,3,2,5,0,0,2,2,4,3,2,7,5,1,3,7,2,3,3,3,0,0,3,2,0,0,1,0,"0",0,0
"139",1,3,3,1,8,1,0,0,5,4,4,0,2,2,2,0,0,9,6,3,0,3,6,3,3,3,2,0,8,1,0,0,1,0,"0",0,0
"140",13,3,2,3,5,4,0,0,6,3,6,0,0,2,2,1,0,9,7,2,0,2,7,0,3,3,4,1,6,0,0,0,0,0,"0",4,1
"141",26,1,5,6,3,0,6,6,3,1,2,0,0,3,3,3,8,1,5,1,4,5,4,3,3,3,1,1,1,2,0,0,1,0,"0",0,0
"142",13,3,3,3,7,2,1,1,3,5,3,1,1,4,2,1,1,8,6,3,1,5,4,2,4,4,1,0,6,0,6,0,0,0,"0",0,0
"143",34,4,3,8,7,0,2,0,3,6,0,0,0,4,3,2,0,9,6,1,2,5,4,0,1,6,3,0,6,2,0,0,1,0,"0",0,0
"144",38,4,2,9,7,1,2,2,0,7,1,0,0,4,4,1,2,7,7,1,2,6,3,4,2,4,0,0,4,2,0,0,1,0,"0",0,0
"145",33,3,3,8,7,0,2,1,1,8,1,1,0,1,6,3,9,0,5,2,3,7,2,1,6,3,0,0,3,0,5,0,0,0,"0",0,0
"146",33,4,2,8,8,0,1,0,1,8,0,0,0,1,5,4,9,0,7,2,0,9,0,3,6,1,0,0,3,0,0,0,0,0,"0",0,0
"147",31,3,3,7,6,0,3,2,0,7,0,0,0,3,3,4,9,0,7,0,2,9,0,2,5,3,0,0,1,0,0,0,0,0,"0",0,0
"148",8,3,2,2,9,0,0,0,3,6,7,0,0,2,0,1,0,9,5,4,0,2,7,0,2,4,1,3,7,0,0,0,0,0,"0",0,0
"149",40,5,3,10,9,0,0,0,1,8,1,0,6,3,0,0,0,9,6,3,0,9,0,1,6,3,0,0,3,0,0,0,0,0,"0",13,4
"150",8,3,3,2,7,1,2,2,3,5,4,0,0,4,1,0,1,8,8,0,1,6,3,0,5,4,0,0,7,0,6,0,0,0,"1",0,0
"151",8,4,3,2,7,1,2,0,3,6,3,1,0,4,1,2,1,8,7,0,2,5,4,1,3,5,1,1,7,0,0,0,0,0,"1",0,0
"152",3,2,4,1,7,0,2,2,6,2,6,1,0,2,0,1,6,3,7,2,0,3,6,2,4,4,1,0,6,0,0,0,0,0,"0",0,0
"153",38,3,3,9,6,1,2,1,2,7,0,0,0,2,2,6,9,0,7,0,2,7,2,6,3,1,0,0,4,0,0,0,0,0,"0",0,0
"154",12,3,2,3,5,2,3,0,2,7,2,0,0,4,0,4,4,5,7,2,0,6,3,4,5,1,0,0,7,0,6,0,0,0,"0",0,0
"155",10,4,2,3,8,1,1,1,2,7,2,0,0,5,2,1,1,8,9,0,0,5,4,2,4,4,0,0,8,0,0,0,0,0,"0",4,1
"156",37,2,3,8,6,1,3,1,6,2,1,0,2,3,3,2,3,6,4,0,5,7,2,2,3,1,3,2,4,0,0,0,0,0,"0",0,0
"157",10,4,3,3,8,1,1,1,1,8,1,0,0,5,3,1,1,8,9,0,0,5,4,3,2,4,0,0,8,2,6,0,1,0,"0",0,0
"158",35,3,3,8,7,0,2,1,4,5,1,0,2,3,2,3,2,7,7,1,2,7,2,1,4,4,1,0,5,0,0,0,0,0,"0",0,0
"159",32,2,4,7,5,0,4,4,4,2,0,0,0,4,0,5,9,0,7,0,2,9,0,8,1,1,0,0,1,0,5,0,0,0,"0",0,0
"160",39,3,3,9,8,0,1,1,5,4,1,0,0,6,1,3,5,4,5,2,3,6,3,2,4,3,1,0,5,0,5,0,0,0,"0",4,1
"161",24,2,3,5,5,1,3,2,4,3,1,0,1,2,2,5,8,1,6,1,3,6,3,4,4,1,0,0,2,2,5,0,1,0,"0",0,0
"162",9,3,3,3,8,1,1,1,5,4,2,0,0,3,3,2,9,0,6,2,2,7,2,2,3,2,4,0,4,2,7,0,1,0,"0",0,0
"163",31,3,3,7,6,1,3,3,1,6,3,0,1,0,2,4,6,3,6,0,3,9,0,3,6,0,0,0,1,0,5,0,0,0,"0",0,0
"164",40,4,3,10,6,0,3,0,3,6,2,0,5,0,0,3,0,9,6,1,2,6,3,0,1,8,0,0,3,0,0,0,0,0,"0",2,1
"165",41,3,3,10,7,2,0,0,3,6,2,0,2,0,4,3,4,5,7,2,0,5,4,2,2,3,3,0,4,0,6,0,0,0,"0",12,4
"166",39,2,4,9,3,1,6,3,2,4,1,0,0,1,0,7,8,1,4,2,4,7,2,7,2,0,0,0,5,0,5,0,0,0,"0",8,2
"167",38,3,3,9,7,1,2,2,4,3,4,0,0,2,2,1,2,7,6,2,1,5,4,2,5,2,2,0,3,0,0,0,0,0,"0",0,0
"168",37,2,4,8,5,1,3,3,5,2,2,0,1,2,0,4,2,7,4,0,5,7,2,4,2,3,1,2,5,0,5,0,0,0,"0",0,0
"169",35,4,3,8,6,2,2,0,4,5,4,0,0,3,3,0,5,4,6,2,2,8,1,0,0,4,5,0,5,0,0,0,0,0,"0",0,0
"170",9,4,2,3,7,1,2,1,2,7,0,0,0,3,2,4,8,1,7,1,1,9,0,2,3,4,0,0,4,0,5,0,0,0,"0",0,0
"171",9,2,3,3,4,3,3,2,3,4,1,0,0,2,3,4,8,1,6,1,2,8,1,3,4,2,0,0,4,0,0,0,0,0,"0",0,0
